2019-07-15 08:18:35.647462 I | etcdmain: etcd Version: 3.3.12
2019-07-15 08:18:35.647549 I | etcdmain: Git SHA: d57e8b8
2019-07-15 08:18:35.647563 I | etcdmain: Go Version: go1.10.8
2019-07-15 08:18:35.647577 I | etcdmain: Go OS/Arch: linux/amd64
2019-07-15 08:18:35.647597 I | etcdmain: setting maximum number of CPUs to 6, total number of available CPUs is 6
2019-07-15 08:18:35.647658 I | embed: peerTLS: cert = /var/etcd/ssl/peer/tls.crt, key = /var/etcd/ssl/peer/tls.key, ca = , trusted-ca = /var/etcd/ssl/peer/ca.crt, client-cert-auth = true, crl-file = 
2019-07-15 08:18:35.648279 I | embed: listening for peers on https://0.0.0.0:2380
2019-07-15 08:18:35.648361 I | embed: listening for client requests on 0.0.0.0:2379
2019-07-15 08:18:40.327764 I | embed: rejected connection from "10.32.0.4:58168" (error "tls: \"10.32.0.4\" does not match any of DNSNames [\"localhost\" \"etcd1.default.svc.cluster.local\" \"etcd2.default.svc.cluster.local\" \"etcd3.default.svc.cluster.local\"]", ServerName "etcd3.default.svc.cluster.local", IPAddresses [], DNSNames ["localhost" "etcd1.default.svc.cluster.local" "etcd2.default.svc.cluster.local" "etcd3.default.svc.cluster.local"])
2019-07-15 08:18:40.381503 I | embed: rejected connection from "10.32.0.4:58172" (error "tls: \"10.32.0.4\" does not match any of DNSNames [\"localhost\" \"etcd1.default.svc.cluster.local\" \"etcd2.default.svc.cluster.local\" \"etcd3.default.svc.cluster.local\"]", ServerName "etcd3.default.svc.cluster.local", IPAddresses [], DNSNames ["localhost" "etcd1.default.svc.cluster.local" "etcd2.default.svc.cluster.local" "etcd3.default.svc.cluster.local"])
2019-07-15 08:18:40.447057 I | embed: rejected connection from "10.32.0.4:58174" (error "tls: \"10.32.0.4\" does not match any of DNSNames [\"localhost\" \"etcd1.default.svc.cluster.local\" \"etcd2.default.svc.cluster.local\" \"etcd3.default.svc.cluster.local\"]", ServerName "etcd3.default.svc.cluster.local", IPAddresses [], DNSNames ["localhost" "etcd1.default.svc.cluster.local" "etcd2.default.svc.cluster.local" "etcd3.default.svc.cluster.local"])
2019-07-15 08:18:40.463721 I | embed: rejected connection from "10.32.0.4:58180" (error "tls: \"10.32.0.4\" does not match any of DNSNames [\"localhost\" \"etcd1.default.svc.cluster.local\" \"etcd2.default.svc.cluster.local\" \"etcd3.default.svc.cluster.local\"]", ServerName "etcd3.default.svc.cluster.local", IPAddresses [], DNSNames ["localhost" "etcd1.default.svc.cluster.local" "etcd2.default.svc.cluster.local" "etcd3.default.svc.cluster.local"])
2019-07-15 08:18:40.541126 I | embed: rejected connection from "10.32.0.4:58184" (error "tls: \"10.32.0.4\" does not match any of DNSNames [\"localhost\" \"etcd1.default.svc.cluster.local\" \"etcd2.default.svc.cluster.local\" \"etcd3.default.svc.cluster.local\"]", ServerName "etcd3.default.svc.cluster.local", IPAddresses [], DNSNames ["localhost" "etcd1.default.svc.cluster.local" "etcd2.default.svc.cluster.local" "etcd3.default.svc.cluster.local"])
